	strictly syntactic cross-serial agreement ; as french ; in the ;  ; english ; coordinations ; languages	<otherscientificterm> <otherscientificterm> <method> <otherscientificterm> <material> <otherscientificterm> <otherscientificterm>	6 0 1 ; 3 2 3 ; 3 1 3	english is shown to be trans-context-free on the basis of <otherscientificterm_5> of the respectively type that involve <otherscientificterm_0> . the agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in <material_4> , like grammatical gender in <otherscientificterm_6> such <otherscientificterm_1> , is partly arbitrary . the formal proof , which makes crucial use of the interchange lemma of ogden et al. , is so constructed as to be valid even if <material_4> is presumed to contain grammatical sentences in which respectively operates across a pair of coordinate phrases one of whose members has fewer conjuncts than the other ; it thus goes through whatever the facts may be regarding constructions with unequal numbers of conjuncts <method_2> scope of respectively , whereas other arguments have foundered on this problem .
	robust visual tracking ; object intrinsic representation ;  ; method	<task> <otherscientificterm> <otherscientificterm> <method>	2 5 2 ; 3 3 1 ; 2 3 2 ; 2 0 2 ; 2 1 2 ; 2 2 2 ; 2 4 2 ; 1 3 0	in this paper , a novel <method_3> to learn the <otherscientificterm_1> for <task_0> is proposed . the basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data . based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of <otherscientificterm_1> , the obtained non-rigid part of object state reduces even to 2 dimensions . secondly the dynamical model is derived and trained based on this intrinsic representation . thirdly the learned <otherscientificterm_1> is integrated into a particle-filter style tracker . we will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable . experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion . the proposed <method_3> also has the potential to solve other type of tracking problems .
	real-time statistical voice conversion ; digital signal processor implementation ; electrolaryngeal speech enhancement ; silent speech enhancement ; 	<method> <method> <task> <task> <otherscientificterm>	0 3 2 ; 4 0 4 ; 4 3 4 ; 4 6 4 ; 0 3 3 ; 4 1 4 ; 4 2 4 ; 3 0 2 ; 1 3 0	in this paper , we present a <method_1> of <method_0> for <task_3> and <task_2> . as a silent speech interface , we focus on non-audible murmur -lrb- nam -rrb- , which can be used in situations where audible speech is not acceptable . electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees . however , the sound quality of nam and electrolaryngeal speech suffers from lack of naturalness . vc has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources . an implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use . in this paper we further implement real-time vc on a dsp . to implement the two speech enhancement systems based on real-time vc , one from nam to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy . we conduct experimental evaluations and show that real-time vc is capable of running on a dsp with little degradation .
	machine translation evaluation measures ; variation in a ; hand-produced sets ;  ; bleu ; nist ; ; ; paraphrase ; at ; to	<metric> <metric> <method> <method> <metric> <metric> <metric> <otherscientificterm> <otherscientificterm> <otherscientificterm>	3 3 9 ; 3 5 3 ; 1 0 6 ; 4 2 0 ; 5 2 0 ; 7 3 0 ; 3 0 1 ; 4 0 5 ; 2 0 3 ; 2 3 9 ; 3 3 3	we propose a method that automatically generates <otherscientificterm_7> sets from seed sentences <otherscientificterm_9> be used as reference sets in objective <metric_0> like <metric_4> and <metric_5> . we measured the quality of the paraphrases produced in an experiment , i.e. , -lrb- i -rrb- their grammaticality : <otherscientificterm_8> least 99 % correct sentences <metric_6> -lrb- ii -rrb- their equivalence in meaning : <otherscientificterm_8> least 96 % correct paraphrases either by meaning equivalence or entailment <metric_6> and , -lrb- iii -rrb- the amount of internal lexical and syntactical <metric_1> set of paraphrases : slightly superior <otherscientificterm_9> that of <method_2> . the <otherscientificterm_7> sets produced by this method thus seem adequate as reference sets <otherscientificterm_9> be used for mt evaluation .
	unification-based grammar parsing ; of unmodified ; graph unification ; 	<task> <method> <task> <method>	3 0 3 ; 3 1 3 ; 2 4 0 ; 1 4 3 ; 3 3 3	graph unification remains the most expensive part of <task_0> . we focus on one speed-up element in the design of unification algorithms : avoidance of copying <method_1> subgraphs . we propose a method of attaining such a design through a method of structure-sharing which avoids log -lrb- d -rrb- overheads often associated with structure-sharing of graphs without any use of costly dependency pointers . the proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .
	textual corpora ; subcategorization dictionary ; 	<material> <otherscientificterm> <otherscientificterm>	2 6 2 ; 2 3 2	we describe a novel technique and implemented system for constructing a <otherscientificterm_1> from <material_0> . each dictionary entry encodes the relative frequency of occurrence of a comprehensive set of subcategorization classes for english . an initial experiment , on a sample of 14 verbs which exhibit multiple complementation patterns , demonstrates that the technique achieves accuracy comparable to previous approaches , which are all limited to a highly restricted set of subcategorization classes . we also demonstrate that a <otherscientificterm_1> built with the system improves the accuracy of a parser by an appreciable amount
	low-level driven image processing algorithms ; prior knowledge ; 	<method> <otherscientificterm> <task>	2 1 2 ; 2 2 2 ; 2 3 2	the introduction of <otherscientificterm_1> has greatly enhanced numerous purely <method_0> . in this work , we focus on the problem of non-rigid image registration . a number of powerful registration criteria have been developed in the last decade , most prominently the criterion of maximum mutual information . although this criterion provides for good registration results in many applications , it remains a purely low-level criterion . as a consequence , registration results will deteriorate once this low-level information is corrupted , due to noise , partial occlusions or missing image structure . in this paper , we will develop a bayesian framework that allows to impose statistically learned <otherscientificterm_1> about the joint intensity distribution into image registration methods . the prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs . this nonparametric prior accurately models previously learned intensity relations between various image modalities and slice locations . experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .
	interactive corpus exploration tool ; text mining . ; educational tool ;  ; are	<method> <task> <method> <task> <method>	3 0 3 ; 3 2 3 ; 4 3 1 ; 2 2 0 ; 3 3 3	we introduce a new <method_0> called <method_2> . <method_2> aims at making exploratory corpus analysis accessible to researchers who <method_4> not experts in <task_1> as evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -lrb- kumar et al. , submitted -rrb- and on-line communities -lrb- arguello et al. , 2006 -rrb- . as an <method_2> , it has been used as part of a unit on protocol analysis in an educational research methods course .
	conversational speech ; language modeling ; from the ; 	<material> <method> <task> <method>	3 3 2 ; 0 3 1	sources of training data suitable for <method_1> of <material_0> are limited . in this paper , we show how training data can be supplemented with text <task_2> web filtered to match the style and/or topic of the target recognition task , but also that it is possible to get bigger performance gains <task_2> data by using class-dependent interpolation of n-grams .
	detecting 3d objects ;  ; multi-modalities ; .	<task> <otherscientificterm> <otherscientificterm> <otherscientificterm>	3 0 1 ; 1 1 1 ; 1 3 1 ; 1 5 1	we present a method for <task_0> using <otherscientificterm_2> . while it is generic , we demonstrate it on the combination of an image and a dense depth map which give complementary object information <otherscientificterm_3> it works in real-time , under heavy clutter , does not require a time consuming training stage , and can handle untextured objects <otherscientificterm_3> it is based on an efficient representation of templates that capture the different modalities , and we show in many experiments on commodity hardware that our approach significantly outperforms state-of-the-art methods on single modalities .
	compact description of a video sequence ; video browsing and retrieval ; image map ; dominant motion ; visual summarization ; compression ; mosaicing	<task> <task> <otherscientificterm> <otherscientificterm> <task> <task> <task>	6 0 4 ; 5 0 6 ; 1 0 5 ; 3 3 0 ; 2 0 3 ; 2 3 0	the <task_0> through a single <otherscientificterm_2> and a <otherscientificterm_3> has applications in several domains , including <task_1> , <task_5> , <task_6> , and <task_4> . building such a representation requires the capability to register all the frames with respect to the dominant object in the scene , a task which has been , in the past , addressed through temporally localized motion estimates . in this paper , we show how the lack of temporal consistency associated with such estimates can undermine the validity of the <otherscientificterm_3> assumption , leading to oscillation between different scene interpretations and poor registration . to avoid this oscillation , we augment the motion model with a generic temporal constraint which increases the robustness against competing interpretations , leading to more meaningful content summarization .
